Start	End	Color
175588	346024	#0000FF
346024	426605	#0000FF
446537	453018	#0000FF
474180	488828	#0000FF
494633	507209	#0000FF
520127	531204	#0000FF
538430	545603	#0000FF
565197	575652	#0000FF
753414	788888	#0000FF
789714	825191	#0000FF
833854	857712	#0000FF
879300	883649	#0000FF
901505	919400	#0000FF
927631	936138	#0000FF
937851	965014	#0000FF
965014	989220	#0000FF
989220	1013257	#0000FF
1013257	1037378	#0000FF
1037378	1042176	#0000FF
1043452	1070239	#0000FF
1070239	1073132	#0000FF
1103283	1105301	#0000FF
1177243	1182928	#0000FF
1182851	1188298	#0000FF
1322437	1348631	#0000FF
1590164	1603217	#0000FF
1655124	1676766	#0000FF
1756006	1759313	#0000FF
1786932	1795603	#0000FF
1800103	1804578	#0000FF
1803888	1808784	#0000FF
1822242	1825489	#0000FF
1854612	1884189	#0000FF
