Start	End	Color
44915	54850	#0000FF
54850	64108	#0000FF
64108	73626	#0000FF
73626	82738	#0000FF
82738	89352	#0000FF
122910	128580	#0000FF
190247	260684	#0000FF
261150	268388	#0000FF
286818	295091	#0000FF
326785	331588	#0000FF
331468	333713	#0000FF
334215	336527	#0000FF
340484	343953	#0000FF
373389	377017	#0000FF
431697	434993	#0000FF
450912	462486	#0000FF
464867	469869	#0000FF
523479	550759	#0000FF
562506	572312	#0000FF
593678	601979	#0000FF
661127	671013	#0000FF
688481	696775	#0000FF
724532	728437	#0000FF
749613	754590	#0000FF
769166	777548	#0000FF
791544	798966	#0000FF
816351	825369	#0000FF
835278	859529	#0000FF
859529	883717	#0000FF
883717	908298	#0000FF
908298	921211	#0000FF
943938	951399	#0000FF
964837	967274	#0000FF
971311	976358	#0000FF
1012254	1017204	#0000FF
1067743	1071850	#0000FF
1070887	1102148	#0000FF
1102237	1107213	#0000FF
1107179	1133111	#0000FF
1133502	1145852	#0000FF
1145254	1147564	#0000FF
1160069	1171968	#0000FF
1177039	1182706	#0000FF
1192919	1197112	#0000FF
1225869	1229451	#0000FF
1260982	1277493	#0000FF
