Start	End	Color
39191	49276	#0000FF
49276	58628	#0000FF
58628	67632	#0000FF
67632	77311	#0000FF
77311	86395	#0000FF
86395	94821	#0000FF
204771	210028	#0000FF
222203	225284	#0000FF
240859	245000	#0000FF
267999	272607	#0000FF
272608	276083	#0000FF
322499	324863	#0000FF
346725	349504	#0000FF
357675	363053	#0000FF
375558	381263	#0000FF
398280	409017	#0000FF
409017	419886	#0000FF
419886	430753	#0000FF
430753	433178	#0000FF
433178	450595	#0000FF
486777	511029	#0000FF
511029	534878	#0000FF
534878	558556	#0000FF
558556	583003	#0000FF
583003	591228	#0000FF
591564	615853	#0000FF
615853	637072	#0000FF
637676	647391	#0000FF
665732	672884	#0000FF
703984	707399	#0000FF
725171	728111	#0000FF
728111	742198	#0000FF
751006	754069	#0000FF
759380	766543	#0000FF
792822	797877	#0000FF
848256	851340	#0000FF
857843	862761	#0000FF
862428	864758	#0000FF
882921	886575	#0000FF
899406	902370	#0000FF
906065	908453	#0000FF
934997	938106	#0000FF
1024956	1032862	#0000FF
