Start	End	Color
177622	180129	#0000FF
180129	183375	#0000FF
208016	241399	#0000FF
241399	243931	#0000FF
243931	247200	#0000FF
252572	256362	#0000FF
257484	262211	#0000FF
267917	304683	#0000FF
304683	307767	#0000FF
318369	321766	#0000FF
328184	333531	#0000FF
338281	341449	#0000FF
536575	538662	#0000FF
536998	539957	#0000FF
539267	545339	#0000FF
585958	589212	#0000FF
594837	606953	#0000FF
617227	619324	#0000FF
650099	653858	#0000FF
702304	739570	#0000FF
865097	868210	#0000FF
882106	935524	#0000FF
1060950	1081804	#0000FF
1085407	1088382	#0000FF
1088449	1092868	#0000FF
1123662	1134658	#0000FF
1268944	1283642	#0000FF
