Start	End	Color
39009	49166	#0000FF
49166	58520	#0000FF
58520	68168	#0000FF
68168	76927	#0000FF
76927	84109	#0000FF
167523	170926	#0000FF
171774	175955	#0000FF
175991	184978	#0000FF
194839	203823	#0000FF
227380	230334	#0000FF
247136	254487	#0000FF
263287	272160	#0000FF
287877	291001	#0000FF
290860	294650	#0000FF
347141	350168	#0000FF
355213	357412	#0000FF
374946	389246	#0000FF
398458	401198	#0000FF
400760	424139	#0000FF
437235	454563	#0000FF
486640	499489	#0000FF
516436	524844	#0000FF
572628	587745	#0000FF
604905	613506	#0000FF
635175	637915	#0000FF
638004	641800	#0000FF
665884	685548	#0000FF
720755	722900	#0000FF
729987	742043	#0000FF
755699	767520	#0000FF
767520	772559	#0000FF
775528	806288	#0000FF
810592	813658	#0000FF
839106	846517	#0000FF
948194	955491	#0000FF
